name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
deepak goyal,0,3,12,0,0,de,al,dee,yal
sunil ladkani,0,3,13,0,1,su,ni,sun,ani
gopal,0,3,5,0,0,go,al,gop,pal
mahavir,0,3,7,0,0,ma,ir,mah,vir
indra sain,0,3,10,1,0,in,in,ind,ain
soni,0,3,4,0,1,so,ni,son,oni
arun kumar,0,3,10,1,0,ar,ar,aru,mar
ashok sharma,0,3,12,1,1,as,ma,ash,rma
veer singh,0,3,10,0,0,ve,gh,vee,ngh
aman dahiya,0,3,11,1,1,am,ya,ama,iya
laxmi rayan,0,3,11,0,0,la,an,lax,yan
vikram dubey,0,3,12,0,0,vi,ey,vik,bey
rima,0,3,4,0,1,ri,ma,rim,ima
ramjan khan,0,3,11,0,0,ra,an,ram,han
sunder,0,3,6,0,0,su,er,sun,der
omparkash,0,3,9,1,0,om,sh,omp,ash
alok tiwari,0,3,11,1,1,al,ri,alo,ari
vude bhadur,0,3,11,0,0,vu,ur,vud,dur
prem singh bidla,0,3,16,0,1,pr,la,pre,dla
chetanya swaroop,0,3,16,0,0,ch,op,che,oop
pinkoo,0,3,6,0,1,pi,oo,pin,koo
shardan,0,3,7,0,0,sh,an,sha,dan
henkhochon haokip,0,3,17,0,0,he,ip,hen,kip
gaurav shankar,0,3,14,0,0,ga,ar,gau,kar
shsi kant,0,3,9,0,0,sh,nt,shs,ant
tavrej,0,3,6,0,0,ta,ej,tav,rej
amrudin,0,3,7,1,0,am,in,amr,din
shahwaz,0,3,7,0,0,sh,az,sha,waz
brij raj,0,3,8,0,0,br,aj,bri,raj
aman kumar,0,3,10,1,0,am,ar,ama,mar
vijay kumar,0,3,11,0,0,vi,ar,vij,mar
baban,0,3,5,0,0,ba,an,bab,ban
subham kumar yadav,0,3,18,0,0,su,av,sub,dav
sap,0,3,3,0,0,sa,ap,sap,sap
surendra,0,3,8,0,1,su,ra,sur,dra
veen,0,3,4,0,0,ve,en,vee,een
ram niwas,0,3,9,0,0,ra,as,ram,was
amar,0,3,4,1,0,am,ar,ama,mar
nhu khan,0,3,8,0,0,nh,an,nhu,han
raja ram,0,3,8,0,0,ra,am,raj,ram
rishab,0,3,6,0,0,ri,ab,ris,hab
ziyabul,0,3,7,0,0,zi,ul,ziy,bul
jag mohan,0,3,9,0,0,ja,an,jag,han
ritu raj kumar,0,3,14,0,0,ri,ar,rit,mar
raj kapoor,0,3,10,0,0,ra,or,raj,oor
arvind agarwal,0,3,14,1,0,ar,al,arv,wal
rajbir ahlawat,0,3,14,0,0,ra,at,raj,wat
mohd faijan,0,3,11,0,0,mo,an,moh,jan
shyama,0,3,6,0,1,sh,ma,shy,ama
mohd firoz,0,3,10,0,0,mo,oz,moh,roz
bhag,0,3,4,0,0,bh,ag,bha,hag
parbhat,0,3,7,0,0,pa,at,par,hat
aamod,0,3,5,1,0,aa,od,aam,mod
gram,0,3,4,0,0,gr,am,gra,ram
gautam,0,3,6,0,0,ga,am,gau,tam
govind,0,3,6,0,0,go,nd,gov,ind
pramjot singh,0,3,13,0,0,pr,gh,pra,ngh
abhiv vashit,0,3,12,1,0,ab,it,abh,hit
usha,0,3,4,1,1,us,ha,ush,sha
vivek chabra,0,3,12,0,1,vi,ra,viv,bra
nootan prakash yadav,0,3,20,0,0,no,av,noo,dav
surender,0,3,8,0,0,su,er,sur,der
